CHROM,ID,F_MISS
1,BTB-01665387,0.25
1,ARS-BFGL-NGS-15866,0.416667
1,ARS-BFGL-NGS-114163,0.0520833
2,Hapmap46046-BTA-114001,0.208333
2,BTB-01085257,0.09375
2,BTB-00091527,0.1875
2,ARS-BFGL-NGS-94388,0.0520833
2,BTB-01437762,0.0520833
2,ARS-BFGL-BAC-35838,0.239583
3,ARS-BFGL-NGS-59223,0.229167
3,BovineHD0300010253,0.09375
3,ARS-BFGL-NGS-103309,0.416667
3,Hapmap43912-BTA-68491,0.0520833
3,ARS-BFGL-NGS-34880,0.09375
3,BTB-00156962,0.177083
4,BTB-00170517,0.125
4,ARS-BFGL-NGS-116726,0.489583
4,ARS-BFGL-NGS-13400,0.0833333
5,ARS-BFGL-NGS-117339,0.25
5,Hapmap26488-BTA-164056,0.0520833
5,BTA-74583-no-rs,0.0729167
6,ARS-BFGL-NGS-2069,0.0729167
6,BTA-75645-no-rs,0.145833
6,ARS-BFGL-NGS-40987,0.322917
6,ARS-BFGL-NGS-63987,0.322917
6,BTB-00280768,1
6,ARS-BFGL-NGS-29105,0.0729167
6,ARS-BFGL-NGS-53471,0.0520833
7,ARS-BFGL-NGS-104648,0.614583
7,BTB-01473837,0.239583
7,ARS-BFGL-NGS-21658,0.0833333
7,BTB-00314287,0.0833333
8,Hapmap38287-BTA-112874,0.104167
8,Hapmap29314-BTA-156827,0.0625
8,Hapmap52876-ss46526288,0.145833
8,BTB-01620899,0.135417
8,UA-IFASA-444,0.208333
8,BTB-01193015,0.1875
9,BTB-01374567,0.0520833
9,BTB-01572866,0.229167
9,BovineHD0900002715,0.385417
9,BTA-24411-no-rs,0.479167
9,ARS-BFGL-NGS-26493,0.427083
9,BTB-00381378,0.1875
9,BTB-01362117,0.9375
9,Hapmap28106-BTA-157973,0.385417
9,BTB-01671455,0.104167
9,Hapmap27875-BTA-146598,0.229167
10,BovineHD1000000041,0.479167
10,BTA-28297-no-rs,0.104167
10,BTB-00418037,0.0729167
10,ARS-BFGL-NGS-110134,0.0520833
10,BTB-01780583,0.104167
10,BTA-76225-no-rs,0.145833
10,ARS-BFGL-NGS-112168,0.15625
10,BTB-01699111,0.0729167
10,ARS-BFGL-NGS-70413,0.229167
11,BTB-01784507,0.0729167
12,BTB-00495415,0.0729167
12,BovineHD1200020066,0.5625
12,BovineHD1200020071,0.5625
12,BovineHD1200020072,0.5625
12,BovineHD1200020076,0.520833
12,DIAS-256,0.458333
12,BovineHD1200020081,0.5625
12,BovineHD1200020082,0.541667
12,BovineHD1200020083,0.395833
12,BovineHD1200020085,0.5625
12,BovineHD1200020086,0.5625
12,BovineHD1200020087,0.5625
12,BovineHD1200020088,0.5625
12,BovineHD1200020089,0.5625
12,BovineHD1200020090,0.5625
12,BovineHD1200020091,0.5625
12,BovineHD1200020092,0.541667
12,BovineHD1200020095,0.53125
12,BovineHD1200020097,0.541667
12,BovineHD1200020098,0.583333
12,BovineHD1200020099,0.583333
12,BovineHD1200020101,0.583333
12,BovineHD1200020102,0.583333
12,BovineHD1200020104,0.572917
12,BovineHD1200020106,0.552083
12,BovineHD1200020109,0.583333
12,BovineHD1200020124,0.25
12,BovineHD1200020259,0.0520833
12,BovineHD1200028309,0.0729167
12,BovineHD1200028311,0.104167
12,BovineHD1200020488,0.479167
12,BovineHD1200020632,0.104167
12,BovineHD1200020644,0.09375
12,BovineHD1200028373,0.104167
12,BovineHD1200028382,0.333333
12,ARS-BFGL-NGS-24482,0.104167
13,Hapmap42040-BTA-103877,0.15625
13,ARS-BFGL-NGS-64703,1
14,Hapmap31972-BTC-057258,0.135417
14,BTA-35325-no-rs,0.0520833
15,ARS-BFGL-NGS-23028,0.0520833
15,BTB-01926941,0.28125
15,Hapmap59933-rs29011215,0.15625
15,Hapmap24247-BTA-130272,0.104167
15,BTB-01772446,0.0833333
16,ARS-BFGL-BAC-27659,0.0625
16,BTA-39826-no-rs,0.208333
17,Hapmap39897-BTA-18318,0.0520833
17,ARS-BFGL-NGS-8464,0.0625
17,Hapmap33668-BTA-150833,0.0625
17,Hapmap60900-rs29022475,0.104167
18,ARS-BFGL-NGS-109351,0.104167
18,ARS-BFGL-NGS-29914,0.239583
18,BTB-01425816,0.0625
18,ARS-BFGL-NGS-117714,0.0833333
19,BTA-03693-no-rs,0.145833
19,ARS-BFGL-NGS-34632,0.260417
19,ARS-BFGL-NGS-28507,0.114583
20,BTA-57175-no-rs,0.104167
20,BTA-49952-no-rs,0.114583
20,BTB-01748945,0.614583
20,BTB-00793877,0.0520833
20,BTB-00795425,0.0520833
21,ARS-BFGL-NGS-33260,0.0833333
21,ARS-BFGL-NGS-11443,0.135417
21,ARS-BFGL-NGS-54970,0.125
21,DIAS-276,0.104167
21,BTA-52615-no-rs,0.34375
21,ARS-BFGL-NGS-104354,0.239583
22,ARS-BFGL-BAC-35143,0.0833333
22,ARS-BFGL-NGS-123,0.125
23,ARS-BFGL-NGS-100628,1
23,ARS-BFGL-NGS-119106,0.5625
23,BovineHD4100016081,0.0729167
23,BovineHD2300007168,0.0520833
23,BovineHD2300007216,0.197917
23,ARS-BFGL-NGS-7638,0.15625
23,BTB-00872950,0.0520833
24,Hapmap40213-BTA-28950,0.0625
24,ARS-BFGL-NGS-4581,0.5625
24,ARS-BFGL-NGS-62630,0.0520833
24,Hapmap48817-BTA-58442,0.0625
25,ARS-BFGL-NGS-113695,0.302083
25,ARS-BFGL-NGS-32714,0.208333
26,Hapmap42270-BTA-61602,0.0520833
26,BTB-01175272,0.34375
27,Hapmap58719-rs29026681,0.0729167
27,BovineHD2700001781,0.552083
27,ARS-BFGL-NGS-64706,0.0833333
28,BTA-63761-no-rs,0.0625
